word,transcription,definition,level,categories,raw
case,/keɪs/,"an instance of a particular situation; an example of something occurring.",A2,"Nouns;General",
cash,/kæʃ/,"money in coins or notes, as distinct from cheques, money orders, or credit.",A2,"Money;Nouns",
castle,/ˈkɑː.səl/,"a large building, typically of the medieval period, fortified against attack with thick walls, battlements, towers, and often a moat.",A2,"Places;Buildings;Nouns",
catch,/kætʃ/,"to intercept and hold something which has been thrown, propelled, or dropped.",A2,"Verbs;Sports;Actions",
cause,/kɔːz/,"a person or thing that gives rise to an action, phenomenon, or condition.",A2,"Nouns;Verbs",
celebrate,/ˈsel.ə.breɪt/,"to acknowledge a significant or happy day or event with a social gathering or enjoyable activity.",A2,"Verbs;Events;Leisure",
celebrity,/səˈleb.rə.ti/,"a famous person, especially in entertainment or sport.",A2,"People;Media;Nouns",
certain,/ˈsɜː.tən/,"known for sure; established beyond doubt.",A2,"Adjectives;General",
certainly,/ˈsɜː.tən.li/,"without doubt.",A2,"Adverbs;Grammar",
chance,/tʃɑːns/,"a possibility of something happening.",A2,"Nouns;General",
character,/ˈkær.ək.tər/,"the mental and moral qualities distinctive to an individual.",A2,"Nouns;People",
charity,/ˈtʃær.ə.ti/,"an organization set up to provide help and raise money for those in need.",A2,"Society;Nouns",
chat,/tʃæt/,"to talk in a friendly and informal way.",A2,"Verbs;Communication",
check,/tʃek/,"to examine something in order to determine its accuracy, quality, or condition.",A2,"Verbs;Nouns;Actions",
chef,/ʃef/,"a professional cook, typically the chief cook in a restaurant or hotel.",A2,"Professions;Food;People",
chemistry,/ˈkem.ɪ.stri/,"the branch of science that deals with the identification of the substances of which matter is composed.",A2,"Education;Nouns",
chip,/tʃɪp/,"a small piece of something removed in the course of chopping, cutting, or breaking a hard material such as wood or stone.",A2,"Objects;Food;Nouns",
choice,/tʃɔɪs/,"an act of choosing between two or more possibilities.",A2,"Nouns;General",
church,/tʃɜːtʃ/,"a building used for public Christian worship.",A2,"Places;Buildings;Society",
cigarette,/ˌsɪɡ.ərˈet/,"a thin cylinder of finely cut tobacco rolled in paper for smoking.",A2,"Objects;Nouns",
circle,/ˈsɜː.kəl/,"a round plane figure whose boundary consists of points equidistant from a fixed point (the centre).",A2,"Math;Shapes;Nouns",
classical,/ˈklæs.ɪ.kəl/,"relating to ancient Greek or Latin literature, art, or culture.",A2,"Adjectives;Arts;Music",
clear,/klɪər/,"easy to perceive, understand, or interpret.",A2,"Adjectives;General",
clearly,/ˈklɪə.li/,"in a way that is easy to see, hear, read, or understand.",A2,"Adverbs;Communication",
clever,/ˈklev.ər/,"quick to understand, learn, and devise or apply ideas; intelligent.",A2,"Adjectives;General",
climate,/ˈklaɪ.mət/,"the weather conditions prevailing in an area in general or over a long period.",A2,"Weather;Nature;Geography",
close,/kləʊs/,"a short distance away or apart in space or time.",A2,"Adjectives;Adverbs",
closed,/kləʊzd/,"not open.",A2,"Adjectives;General",
clothing,/ˈkləʊ.ðɪŋ/,"items worn to cover the body.",A2,"Clothing;Nouns",
cloud,/klaʊd/,"a visible mass of water droplets or ice crystals suspended in the atmosphere.",A2,"Weather;Nature;Nouns",
coach,/kəʊtʃ/,"a person who trains a sports player or team.",A2,"Professions;Sports;People",
coast,/kəʊst/,"the part of the land adjoining or near the sea.",A2,"Geography;Nature;Places",
code,/kəʊd/,"a system of words, letters, figures, or symbols used to represent others, especially for the purposes of secrecy.",A2,"Writing;Technology;Nouns",
colleague,/ˈkɒl.iːɡ/,"a person with whom one works in a profession or business.",A2,"Work;People;Nouns",
collect,/kəˈlekt/,"to bring or gather together.",A2,"Verbs;Hobbies;Actions",
column,/ˈkɒl.əm/,"a vertical division of a page or text.",A2,"Writing;Objects;Nouns",
comedy,/ˈkɒm.ə.di/,"professional entertainment consisting of jokes and satirical sketches, intended to make an audience laugh.",A2,"Media;Arts;Nouns",
comfortable,/ˈkʌm.fə.tə.bəl/,"providing physical ease and relaxation.",A2,"Adjectives;Feelings;House",
comment,/ˈkɒm.ent/,"a verbal or written remark expressing an opinion or reaction.",A2,"Communication;Writing;Nouns",
communicate,/kəˈmjuː.nɪ.keɪt/,"to share or exchange information, news, or ideas.",A2,"Verbs;Communication",
community,/kəˈmjuː.nə.ti/,"a group of people living in the same place or having a particular characteristic in common.",A2,"Society;Groups;People",
compete,/kəmˈpiːt/,"to strive to gain or win something by defeating or establishing superiority over others.",A2,"Verbs;Sports;Work",
competition,/ˌkɒm.pəˈtɪʃ.ən/,"the activity or condition of competing.",A2,"Sports;Events;Nouns",
complain,/kəmˈpleɪn/,"to express dissatisfaction or annoyance about something.",A2,"Verbs;Communication;Feelings",
completely,/kəmˈpliːt.li/,"totally; utterly.",A2,"Adverbs;Grammar",
condition,/kənˈdɪʃ.ən/,"the state of something, especially with regard to its appearance, quality, or working order.",A2,"Nouns;Health;General",
conference,/ˈkɒn.fər.əns/,"a formal meeting for discussion.",A2,"Events;Work;Nouns",
connect,/kəˈnekt/,"to bring together or into contact so that a real or notional link is established.",A2,"Verbs;Actions",
connected,/kəˈnek.tɪd/,"brought together or into contact.",A2,"Adjectives;General",
consider,/kənˈsɪd.ər/,"to think carefully about something, typically before making a decision.",A2,"Verbs;Communication",
contain,/kənˈteɪn/,"to have or hold someone or something within.",A2,"Verbs;General",
context,/ˈkɒn.tekst/,"the circumstances that form the setting for an event, statement, or idea, and in terms of which it can be fully understood.",A2,"Writing;Communication;Nouns",
continent,/ˈkɒn.tɪ.nənt/,"any of the world's main continuous expanses of land (Europe, Asia, Africa, North and South America, Australia, Antarctica).",A2,"Geography;Places;Nouns",
continue,/kənˈtɪn.juː/,"to persist in an activity or process.",A2,"Verbs;Actions",
control,/kənˈtrəʊl/,"the power to influence or direct people's behaviour or the course of events.",A2,"Nouns;Verbs",
cook,/kʊk/,"a person who prepares and cooks food, especially as a job or in a specified way.",A2,"Professions;Food;People",
copy,/ˈkɒp.i/,"a thing made to be similar or identical to another.",A2,"Nouns;Verbs;Writing",
corner,/ˈkɔː.nər/,"a place or angle where two or more sides or edges meet.",A2,"Nouns;Shapes",
correctly,/kəˈrekt.li/,"in a way that is true, factual, or appropriate; accurately.",A2,"Adverbs;General",
count,/kaʊnt/,"to determine the total number of a collection of items.",A2,"Verbs;Math",
couple,/ˈkʌp.əl/,"two people or things of the same sort considered together.",A2,"Nouns;Relationships;People",
cover,/ˈkʌv.ər/,"to put something on top of or in front of something else in order to protect or conceal it.",A2,"Verbs;Objects",
crazy,/ˈkreɪ.zi/,"mad, especially as manifested in wild or aggressive behaviour.",A2,"Adjectives;Feelings",
creative,/kriˈeɪ.tɪv/,"relating to or involving the use of the imagination or original ideas to create something.",A2,"Adjectives;Arts",
credit,/ˈkred.ɪt/,"the ability of a customer to obtain goods or services before payment, based on the trust that payment will be made in the future.",A2,"Money;Business;Nouns",
crime,/kraɪm/,"an action or omission which constitutes an offence and is punishable by law.",A2,"Society;Nouns",
criminal,/ˈkrɪm.ɪ.nəl/,"a person who has committed a crime.",A2,"People;Society;Nouns",
cross,/krɒs/,"to go or extend from one side to the other of a river, road, or area.",A2,"Verbs;Movement",
crowd,/kraʊd/,"a large number of people gathered together in a public place.",A2,"Groups;People;Nouns",
crowded,/ˈkraʊ.dɪd/,"(of a space) full of people, leaving little or no room for movement.",A2,"Adjectives;Places",
cry,/kraɪ/,"to shed tears, typically as an expression of distress, pain, or sorrow.",A2,"Verbs;Feelings",
cupboard,/ˈkʌb.əd/,"a piece of furniture with a door and typically shelves, used for storage.",A2,"Furniture;House;Objects",
curly,/ˈkɜː.li/,"made, growing, or arranged in curls or curves.",A2,"Adjectives;Appearance",
cycle,/ˈsaɪ.kəl/,"a series of events that are regularly repeated in the same order.",A2,"Nouns;Verbs;Sports",
daily,/ˈdeɪ.li/,"done, produced, or occurring every day or every weekday.",A2,"Adjectives;Adverbs;Time",
danger,/ˈdeɪn.dʒər/,"the possibility of suffering harm or injury.",A2,"Nouns;General",
dark,/dɑːk/,"the absence of light.",A2,"Nouns;Colors",
data,/ˈdeɪ.tə/,"facts and statistics collected together for reference or analysis.",A2,"Data;Nouns",
dead,/ded/,"no longer alive.",A2,"Adjectives;Health",
deal,/diːl/,"to take part in commercial trading of a particular commodity.",A2,"Verbs;Business",
dear,/dɪər/,"used as an affectionate or friendly form of address.",A2,"Interjections;Phrases",
death,/deθ/,"the action or fact of dying or being killed; the end of the life of a person or organism.",A2,"Nouns;Health",
decision,/dɪˈsɪʒ.ən/,"a conclusion or resolution reached after consideration.",A2,"Nouns;General",
deep,/diːp/,"extending far down from the top or surface.",A2,"Adjectives;Size",
definitely,/ˈdef.ɪ.nət.li/,"without doubt (used for emphasis).",A2,"Adverbs;Grammar",
degree,/dɪˈɡriː/,"a unit of measurement of angles.",A2,"Math;Education;Nouns",
dentist,/ˈden.tɪst/,"a person qualified to treat the diseases and conditions that affect the teeth and gums.",A2,"Professions;Health;People",
department,/dɪˈpɑːt.mənt/,"a division of a large organization such as a government, university, or business, dealing with a specific area of activity.",A2,"Work;Education;Places",
depend,/dɪˈpend/,"to be controlled or determined by.",A2,"Verbs;General",
desert,/ˈdez.ət/,"a waterless, desolate area of land with little or no vegetation, typically one covered with sand.",A2,"Nature;Geography;Places",
designer,/dɪˈzaɪ.nər/,"a person who plans the form, look, or workings of something before its being made or built.",A2,"Professions;Arts;People",
destroy,/dɪˈstrɔɪ/,"to put an end to the existence of something by damaging or attacking it.",A2,"Verbs;Actions",
detective,/dɪˈtek.tɪv/,"a person, especially a police officer, whose occupation is to investigate and solve crimes.",A2,"Professions;People;Nouns",
develop,/dɪˈvel.əp/,"to grow or cause to grow and become more mature, advanced, or elaborate.",A2,"Verbs;Business;Work",
device,/dɪˈvaɪs/,"a thing made or adapted for a particular purpose, especially a piece of mechanical or electronic equipment.",A2,"Technology;Objects;Nouns",
diary,/ˈdaɪə.ri/,"a book in which one keeps a daily record of events and experiences.",A2,"Writing;Objects;Nouns",
differently,/ˈdɪf.ər.ənt.li/,"in a way that is not the same as another or as before.",A2,"Adverbs;General",
digital,/ˈdɪdʒ.ɪ.təl/,"involving or relating to the use of computer technology.",A2,"Adjectives;Technology",
direct,/daɪˈrekt/,"extending or moving from one place to another by the shortest way without changing direction or stopping.",A2,"Adjectives;Verbs",
direction,/daɪˈrek.ʃən/,"a course along which someone or something moves.",A2,"Nouns;Movement",
director,/daɪˈrek.tər/,"a person who is in charge of an activity, department, or organization.",A2,"Professions;Work;People",
disagree,/ˌdɪs.əˈɡriː/,"to have or express a different opinion.",A2,"Verbs;Communication",
disappear,/ˌdɪs.əˈpɪər/,"to cease to be visible.",A2,"Verbs;Actions",
disaster,/dɪˈzɑː.stər/,"a sudden event, such as an accident or a natural catastrophe, that causes great damage or loss of life.",A2,"Events;Nouns",
discover,/dɪˈskʌv.ər/,"to find something or someone unexpectedly or in the course of a search.",A2,"Verbs;Actions",
discovery,/dɪˈskʌv.ər.i/,"the action or process of discovering or being discovered.",A2,"Nouns;General",
discussion,/dɪˈskʌʃ.ən/,"the action or process of talking about something in order to reach a decision or to exchange ideas.",A2,"Communication;Nouns",
disease,/dɪˈziːz/,"a disorder of structure or function in a human, animal, or plant, especially one that produces specific signs or symptoms.",A2,"Health;Nouns",
distance,/ˈdɪs.təns/,"an amount of space between two things or people.",A2,"Math;Nouns",
divorced,/dɪˈvɔːst/,"no longer married.",A2,"Adjectives;Relationships",
document,/ˈdɒk.jə.mənt/,"a piece of written, printed, or electronic matter that provides information or evidence or that serves as an official record.",A2,"Writing;Work;Nouns",
double,/ˈdʌb.əl/,"consisting of two equal, identical, or similar parts or things.",A2,"Adjectives;Math",
download,/ˌdaʊnˈləʊd/,"to copy data from one computer system to another, typically over the internet.",A2,"Verbs;Technology",
downstairs,/ˌdaʊnˈsteəz/,"relating to the ground floor or a lower floor.",A2,"Adjectives;House",
drama,/ˈdrɑː.mə/,"a play for theatre, radio, or television.",A2,"Arts;Media;Nouns",
drawing,/ˈdrɔː.ɪŋ/,"a picture or diagram made with a pencil, pen, or crayon rather than paint.",A2,"Arts;Hobbies;Nouns",
dream,/driːm/,"a series of thoughts, images, and sensations occurring in a person's mind during sleep.",A2,"Nouns;Verbs",
drive,/draɪv/,"a trip or journey in a car.",A2,"Nouns;Transport;Travel",
driving,/ˈdraɪ.vɪŋ/,"the control and operation of a motor vehicle.",A2,"Nouns;Transport;Actions",
drop,/drɒp/,"to let or make something fall vertically.",A2,"Verbs;Actions",
drug,/drʌɡ/,"a medicine or other substance which has a physiological effect when ingested or otherwise introduced into the body.",A2,"Health;Nouns",
dry,/draɪ/,"free from moisture or liquid; not wet or moist.",A2,"Adjectives;Weather",
earn,/ɜːn/,"to obtain money in return for labour or services.",A2,"Verbs;Money;Work",
earth,/ɜːθ/,"the planet on which we live; the world.",A2,"Nature;Geography;Nouns",
easily,/ˈiː.zə.li/,"without difficulty or effort.",A2,"Adverbs;General",
education,/ˌedʒ.ʊˈkeɪ.ʃən/,"the process of receiving or giving systematic instruction, especially at a school or university.",A2,"Education;Nouns",
effect,/ɪˈfekt/,"a change which is a consequence or result of an action or other cause.",A2,"Nouns;General",
either,/ˈaɪ.ðər/,"used before the first of two given alternatives.",A2,"Determiners;Pronouns;Grammar",
electric,/iˈlek.trɪk/,"of, worked by, charged with, or producing electricity.",A2,"Adjectives;Technology",
electrical,/iˈlek.trɪ.kəl/,"relating to electricity.",A2,"Adjectives;Technology",
electricity,/ˌel.ɪkˈtrɪs.ə.ti/,"a form of energy resulting from the existence of charged particles.",A2,"Nouns;Technology",
electronic,/ˌel.ɪkˈtrɒn.ɪk/,"having or operating with components such as microchips and transistors that control and direct electric currents.",A2,"Adjectives;Technology",
employ,/ɪmˈplɔɪ/,"to give work to someone and pay them for it.",A2,"Verbs;Work;Business",
employee,/ɪmˈplɔɪ.iː/,"a person employed for wages or salary, especially at non-executive level.",A2,"People;Work;Nouns",
employer,/ɪmˈplɔɪ.ər/,"a person or organization that employs people.",A2,"People;Work;Nouns",
empty,/ˈemp.ti/,"containing nothing; not filled or occupied.",A2,"Adjectives;General",
ending,/ˈen.dɪŋ/,"the final part of a story, film, or piece of music.",A2,"Nouns;Writing;Media",
energy,/ˈen.ə.dʒi/,"the strength and vitality required for sustained physical or mental activity.",A2,"Nouns;Health",
engine,/ˈen.dʒɪn/,"a machine with moving parts that converts power into motion.",A2,"Technology;Transport;Objects",
engineer,/ˌen.dʒɪˈnɪər/,"a person who designs, builds, or maintains engines, machines, or public works.",A2,"Professions;Work;People",
enormous,/ɪˈnɔː.məs/,"very large in size, quantity, or extent.",A2,"Adjectives;Size",
enter,/ˈen.tər/,"to come or go into a place.",A2,"Verbs;Movement",
environment,/ɪnˈvaɪə.rən.mənt/,"the surroundings or conditions in which a person, animal, or plant lives or operates.",A2,"Nature;Society;Nouns",
equipment,/ɪˈkwɪp.mənt/,"the necessary items for a particular purpose.",A2,"Objects;Nouns",
error,/ˈer.ər/,"a mistake.",A2,"Nouns;General",
especially,/ɪˈspeʃ.əl.i/,"used to single out one person, thing, or situation over all others.",A2,"Adverbs;Grammar",
essay,/ˈes.eɪ/,"a short piece of writing on a particular subject.",A2,"Writing;Education;Nouns",
everyday,/ˈev.ri.deɪ/,"happening or used every day; daily.",A2,"Adjectives;Time",
everywhere,/ˈev.ri.weər/,"in or to all places.",A2,"Adverbs;Places",
evidence,/ˈev.ɪ.dəns/,"the available body of facts or information indicating whether a belief or proposition is true or valid.",A2,"Data;Nouns",
exact,/ɪɡˈzækt/,"not approximated in any way; precise.",A2,"Adjectives;General",
exactly,/ɪɡˈzækt.li/,"used to emphasize the accuracy of a figure or description.",A2,"Adverbs;Grammar",
excellent,/ˈek.səl.ənt/,"extremely good; outstanding.",A2,"Adjectives;Feelings",
except,/ɪkˈsept/,"not including; other than.",A2,"Prepositions;Grammar",
exist,/ɪɡˈzɪst/,"to live, especially under difficult conditions.",A2,"Verbs;General",
expect,/ɪkˈspekt/,"to regard something as likely to happen.",A2,"Verbs;Communication",
experience,/ɪkˈspɪə.ri.əns/,"practical contact with and observation of facts or events.",A2,"Nouns;General",
experiment,/ɪkˈsper.ɪ.mənt/,"a scientific procedure undertaken to make a discovery, test a hypothesis, or demonstrate a known fact.",A2,"Education;Nouns",
expert,/ˈek.spɜːt/,"a person who is very knowledgeable about or skilful in a particular area.",A2,"People;Professions;Nouns",
explanation,/ˌek.spləˈneɪ.ʃən/,"a statement or account that makes something clear.",A2,"Communication;Nouns",
express,/ɪkˈspres/,"to convey a thought or feeling in words or by gestures and conduct.",A2,"Verbs;Communication;Feelings",
expression,/ɪkˈspreʃ.ən/,"the process of making known one's thoughts or feelings.",A2,"Nouns;Communication;Feelings",
extreme,/ɪkˈstriːm/,"reaching a high or the highest degree; very great.",A2,"Adjectives;General",
extremely,/ɪkˈstriːm.li/,"to a very great degree.",A2,"Adverbs;Grammar",
factor,/ˈfæk.tər/,"a circumstance, fact, or influence that contributes to a result or outcome.",A2,"Nouns;Math",
factory,/ˈfæk.tər.i/,"a building or group of buildings where goods are manufactured or assembled chiefly by machine.",A2,"Places;Work;Buildings",
fail,/feɪl/,"to be unsuccessful in achieving one's goal.",A2,"Verbs;General",
fair,/feər/,"treating people equally without favouritism or discrimination.",A2,"Adjectives;General",
fall,/fɔːl/,"the season after summer and before winter, when the leaves of many trees change colour and fall.",A2,"Seasons;Nature;Nouns",
fan,/fæn/,"an enthusiastic devotee of a sport or celebrity.",A2,"People;Hobbies;Nouns",
farm,/fɑːm/,"to use land for growing crops and rearing animals.",A2,"Verbs;Farming",
farming,/ˈfɑː.mɪŋ/,"the activity or business of growing crops and raising livestock.",A2,"Farming;Work;Nouns",
fashion,/ˈfæʃ.ən/,"a popular or the latest style of clothing, hair, decoration, or behaviour.",A2,"Clothing;Society;Nouns",
fat,/fæt/,"a natural oily substance occurring in animal bodies, especially when deposited as a layer under the skin or around certain organs.",A2,"Food;Body Parts;Nouns",
fear,/fɪər/,"an unpleasant emotion caused by the belief that someone or something is dangerous, likely to cause pain, or a threat.",A2,"Feelings;Nouns",
feature,/ˈfiː.tʃər/,"a distinctive attribute or aspect of something.",A2,"Nouns;General",
feed,/fiːd/,"to give food to a person or animal.",A2,"Verbs;Food;Actions",
female,/ˈfiː.meɪl/,"of or denoting the sex that can bear offspring or produce eggs.",A2,"Adjectives;People;Animals",
fiction,/ˈfɪk.ʃən/,"literature in the form of prose, especially novels, that describes imaginary events and people.",A2,"Writing;Media;Nouns",
field,/fiːld/,"an area of open land, especially one planted with crops or pasture, typically bounded by hedges or fences.",A2,"Farming;Nature;Places",
fight,/faɪt/,"to take part in a violent struggle involving the exchange of physical blows.",A2,"Verbs;Nouns;Actions",
figure,/ˈfɪɡ.ər/,"a number, especially one which forms part of official statistics.",A2,"Math;Data;Nouns",
film,/fɪlm/,"to make a film of a story or event.",A2,"Verbs;Media",
final,/ˈfaɪ.nəl/,"the last game in a sports tournament, which decides the winner of the tournament.",A2,"Sports;Events;Nouns",
finally,/ˈfaɪ.nəl.i/,"after a long time, typically when there has been difficulty or delay.",A2,"Adverbs;Time",
finger,/ˈfɪŋ.ɡər/,"each of the four slender jointed parts attached to either hand.",A2,"Body Parts;Nouns",
finish,/ˈfɪn.ɪʃ/,"the end of a race or other sporting contest.",A2,"Events;Sports;Nouns",
first,/fɜːst/,"the first point in a list or sequence.",A2,"Nouns;Math",
firstly,/ˈfɜːst.li/,"used to introduce a first point or reason.",A2,"Adverbs;Grammar",
fish,/fɪʃ/,"to catch or try to catch fish, typically by using a net or a rod and line.",A2,"Verbs;Hobbies;Food",
fishing,/ˈfɪʃ.ɪŋ/,"the activity of catching fish, either for food or as a sport.",A2,"Hobbies;Sports;Nouns",
fit,/fɪt/,"to be of the right shape and size for someone or something.",A2,"Verbs;Clothing",
fix,/fɪks/,"to mend or repair.",A2,"Verbs;Actions",
flat,/flæt/,"smooth and even; without marked lumps or indentations.",A2,"Adjectives;General",
flu,/fluː/,"influenza.",A2,"Health;Nouns",
fly,/flaɪ/,"a winged insect.",A2,"Animals;Nouns",
flying,/ˈflaɪ.ɪŋ/,"the action of flying through the air.",A2,"Transport;Nouns",
focus,/ˈfəʊ.kəs/,"to pay particular attention to.",A2,"Verbs;Actions",
following,/ˈfɒl.əʊ.ɪŋ/,"coming after or as a result of.",A2,"Adjectives;Prepositions",
foreign,/ˈfɒr.ən/,"of, from, in, or characteristic of a country or language other than one's own.",A2,"Adjectives;Geography",
forest,/ˈfɒr.ɪst/,"a large area covered chiefly with trees and undergrowth.",A2,"Nature;Places;Nouns",
fork,/fɔːk/,"a utensil, usually having two or more prongs, used for lifting food to the mouth or holding it when cutting.",A2,"Objects;Food;Nouns",
formal,/ˈfɔː.məl/,"done in accordance with rules of convention or etiquette; suitable for or constituting an official or important occasion.",A2,"Adjectives;Society",
fortunately,/ˈfɔː.tʃən.ət.li/,"by good luck.",A2,"Adverbs;General",
forward,/ˈfɔː.wəd/,"in the direction that one is facing or travelling.",A2,"Adverbs;Movement",
free,/friː/,"without cost or payment.",A2,"Adverbs;Money",
fresh,/freʃ/,"(of food) recently made or obtained; not tinned, frozen, or otherwise preserved.",A2,"Adjectives;Food",
fridge,/frɪdʒ/,"a refrigerator.",A2,"Objects;House;Nouns",
frog,/frɒɡ/,"a tailless amphibian with a short stout body and short legs, typically living in or near water.",A2,"Animals;Nouns",
fun,/fʌn/,"amusing, entertaining, or enjoyable.",A2,"Adjectives;Feelings;Leisure",
furniture,/ˈfɜː.nɪ.tʃər/,"the movable articles that are used to make a room or building suitable for living or working in.",A2,"Furniture;House;Nouns",
further,/ˈfɜː.ðər/,"at, to, or by a greater distance.",A2,"Adjectives;Adverbs",
future,/ˈfjuː.tʃər/,"relating to time still to come.",A2,"Adjectives;Time",
gallery,/ˈɡæl.ər.i/,"a room or building for the display or sale of works of art.",A2,"Places;Arts;Nouns",
gap,/ɡæp/,"a break or hole in an object or between two objects.",A2,"Nouns;General",
gas,/ɡæs/,"a substance in a state like air that is neither solid nor liquid.",A2,"Nature;Nouns",
gate,/ɡeɪt/,"a hinged barrier used to close an opening in a wall, fence, or hedge.",A2,"Objects;House;Nouns",
general,/ˈdʒen.ər.əl/,"affecting or concerning all or most people or things; widespread.",A2,"Adjectives;General",
gift,/ɡɪft/,"a thing given willingly to someone without payment; a present.",A2,"Objects;Shopping;Nouns",
goal,/ɡəʊl/,"(in football, hockey, etc.) a pair of posts linked by a crossbar and typically backed with a net, forming a space into which the ball has to be sent to score.",A2,"Sports;Nouns",
god,/ɡɒd/,"(in Christianity and other monotheistic religions) the creator and ruler of the universe.",A2,"Society;Nouns",
gold,/ɡəʊld/,"a yellow precious metal, the chemical element of atomic number 79.",A2,"Objects;Colors;Nouns",
golf,/ɡɒlf/,"a game played on a large open-air course, in which a small hard ball is struck with a club into a series of small holes in the ground.",A2,"Sports;Hobbies;Nouns",
good,/ɡʊd/,"that which is morally right; righteousness.",A2,"Nouns;General",
government,/ˈɡʌv.ən.mənt/,"the group of people with the authority to govern a country or state; a particular ministry in office.",A2,"Society;Work;Nouns",
grass,/ɡrɑːs/,"vegetation consisting of typically short plants with long, narrow leaves, growing wild or cultivated on lawns and pasture.",A2,"Plants;Nature;Nouns",
greet,/ɡriːt/,"to give a polite word or sign of welcome or recognition to someone on meeting.",A2,"Verbs;Communication",
ground,/ɡraʊnd/,"the solid surface of the earth.",A2,"Nature;Places;Nouns",
guest,/ɡest/,"a person who is invited to visit the home of or take part in a function organized by another.",A2,"People;Nouns",
guide,/ɡaɪd/,"a person who shows the way to others, especially one hired to show tourists around a place of interest.",A2,"Nouns;Verbs;Professions",
gun,/ɡʌn/,"a weapon incorporating a metal tube from which bullets, shells, or other missiles are propelled by explosive force.",A2,"Objects;Nouns",
guy,/ɡaɪ/,"a man.",A2,"People;Nouns",
habit,/ˈhæb.ɪt/,"a settled or regular tendency or practice, especially one that is hard to give up.",A2,"Nouns;General",
half,/hɑːf/,"to the extent of half.",A2,"Adverbs;Math",
hall,/hɔːl/,"the room or space just inside the front entrance of a house or flat.",A2,"House;Places;Nouns",
happily,/ˈhæp.ɪ.li/,"in a happy way.",A2,"Adverbs;Feelings",
have,/hæv/,"used with a past participle to form the perfect, pluperfect, and future perfect tenses and the conditional mood.",A2,"Verbs;Grammar",
headache,/ˈhed.eɪk/,"a continuous pain in the head.",A2,"Health;Nouns",
heart,/hɑːt/,"the muscular organ in humans and other animals which pumps the blood through the circulatory system by contraction and dilation.",A2,"Body Parts;Nouns",
heat,/hiːt/,"the quality of being hot; high temperature.",A2,"Nouns;Weather;Nature",
heavy,/ˈhev.i/,"of great weight; difficult to lift or move.",A2,"Adjectives;General",
height,/haɪt/,"the measurement of someone or something from head to foot or from base to top.",A2,"Nouns;Size",
helpful,/ˈhelp.fəl/,"giving or ready to give help.",A2,"Adjectives;General",
hero,/ˈhɪə.rəʊ/,"a person who is admired for their courage, outstanding achievements, or noble qualities.",A2,"People;Nouns",
hers,/hɜːz/,"used to refer to a thing or things belonging to or associated with a female person or animal previously mentioned.",A2,"Pronouns;Grammar",
herself,/hɜːˈself/,"used as the object of a verb or preposition to refer to a female person or animal that is the subject of the clause.",A2,"Pronouns;Grammar",
hide,/haɪd/,"to put or keep out of sight.",A2,"Verbs;Actions",
high,/haɪ/,"at a high level or position.",A2,"Adverbs;General",
hill,/hɪl/,"a naturally raised area of land, not as high or craggy as a mountain.",A2,"Geography;Nature;Places",
himself,/hɪmˈself/,"used as the object of a verb or preposition to refer to a male person or animal that is the subject of the clause.",A2,"Pronouns;Grammar",
his,/hɪz/,"used to refer to a thing or things belonging to or associated with a male person or animal previously mentioned.",A2,"Pronouns;Grammar",
hit,/hɪt/,"to bring one's hand or a tool or weapon into contact with someone or something quickly and forcefully.",A2,"Verbs;Actions",
hockey,/ˈhɒk.i/,"a team game played between two teams of eleven players using hooked sticks with which the players try to drive a small, hard ball towards goals at opposite ends of a field.",A2,"Sports;Hobbies;Nouns",
hold,/həʊld/,"to grasp, carry, or support with one's hands.",A2,"Verbs;Actions",
hole,/həʊl/,"a hollow place in a solid body or surface.",A2,"Nouns;Objects",
home,/həʊm/,"relating to the place where one lives.",A2,"Adjectives;House",
hope,/həʊp/,"a feeling of expectation and desire for a particular thing to happen.",A2,"Nouns;Feelings",
huge,/hjuːdʒ/,"extremely large; enormous.",A2,"Adjectives;Size",
human,/ˈhjuː.mən/,"relating to or characteristic of humankind.",A2,"Adjectives;Nouns;People",
hurt,/hɜːt/,"to cause physical pain or injury to.",A2,"Verbs;Health;Feelings",
ideal,/aɪˈdɪəl/,"satisfying one's conception of what is perfect; most suitable.",A2,"Adjectives;General",
identify,/aɪˈden.tɪ.faɪ/,"to establish or indicate who or what someone or something is.",A2,"Verbs;Actions",
ill,/ɪl/,"not in full health; sick.",A2,"Adjectives;Health",
illness,/ˈɪl.nəs/,"a disease or period of sickness affecting the body or mind.",A2,"Health;Nouns",
image,/ˈɪm.ɪdʒ/,"a representation of the external form of a person or thing in art.",A2,"Objects;Media;Nouns",
immediately,/ɪˈmiː.di.ət.li/,"at once; instantly.",A2,"Adverbs;Time",
impossible,/ɪmˈpɒs.ə.bəl/,"not able to occur, exist, or be done.",A2,"Adjectives;General",
included,/ɪnˈkluː.dɪd/,"comprised or contained as part of a whole.",A2,"Adjectives;General",
including,/ɪnˈkluː.dɪŋ/,"containing as part of the whole being considered.",A2,"Prepositions;Grammar",
increase,/ɪnˈkriːs/,"to become or make greater in size, amount, or degree.",A2,"Verbs;Math",
incredible,/ɪnˈkred.ə.bəl/,"difficult to believe; extraordinary.",A2,"Adjectives;Feelings",
independent,/ˌɪn.dɪˈpen.dənt/,"free from outside control; not subject to another's authority.",A2,"Adjectives;Society",
